"ID_rater"	"ID_child"	"age_group"	"accent_response"	"accent_numeric"	"rating_language"	"age_months"	"family"
"121"	"R4"	"011IV"	"preschool"	"no"	0	"RU"	65	"mono-rus"
"122"	"R4"	"005SIN"	"preschool"	"s"	2	"RU"	60	"bil-rus"
"123"	"R4"	"014SIN"	"preschool"	"no"	0	"RU"	61	"bil-mixed"
"124"	"R4"	"013IV"	"preschool"	"no"	0	"RU"	56	"mono-rus"
"125"	"R4"	"012SIN"	"preschool"	"no"	0	"RU"	76	"bil-rus"
"126"	"R4"	"015SIN"	"preschool"	"w"	1	"RU"	72	"bil-rus"
"127"	"R4"	"008IV"	"preschool"	"no"	0	"RU"	60	"mono-rus"
"128"	"R4"	"041SIN"	"preschool"	"s"	2	"RU"	76	"bil-mixed"
"129"	"R4"	"101BER"	"preschool"	"no"	0	"RU"	59	"bil-rus"
"130"	"R4"	"009IV"	"preschool"	"no"	0	"RU"	48	"mono-rus"
"131"	"R4"	"102BER"	"preschool"	"w"	1	"RU"	58	"bil-rus"
"132"	"R4"	"042SIN"	"school"	"w"	1	"RU"	85	"bil-rus"
"133"	"R4"	"003IV"	"school"	"no"	0	"RU"	101	"mono-rus"
"134"	"R4"	"008SIN"	"school"	"s"	2	"RU"	100	"bil-rus"
"135"	"R4"	"044SIN"	"school"	"no"	0	"RU"	87	"bil-rus"
"136"	"R4"	"002IV"	"school"	"no"	0	"RU"	91	"mono-rus"
"137"	"R4"	"031SIN"	"school"	NA	NA	"RU"	94	"bil-rus"
"138"	"R4"	"013SIN"	"school"	"no"	0	"RU"	86	"bil-rus"
"139"	"R4"	"005IV"	"school"	"no"	0	"RU"	114	"mono-rus"
"140"	"R4"	"010SIN"	"school"	"w"	1	"RU"	102	"bil-rus"
"141"	"R4"	"018SIN"	"school"	"s"	2	"RU"	97	"bil-mixed"
"142"	"R4"	"004IV"	"school"	"no"	0	"RU"	90	"mono-rus"
"143"	"R4"	"040SIN"	"school"	"no"	0	"RU"	110	"bil-mixed"
"144"	"R4"	"007SIN"	"school"	"no"	0	"RU"	110	"bil-rus"
"145"	"R4"	"001IV"	"school"	"no"	0	"RU"	114	"mono-rus"
"146"	"R4"	"048SIN"	"school"	"w"	1	"RU"	100	"bil-rus"
"147"	"R4"	"016SIN"	"school"	"w"	1	"RU"	112	"bil-rus"
"148"	"R4"	"043SIN"	"school"	"w"	1	"RU"	116	"bil-rus"
"149"	"R5"	"010RUS-IV-boy-5"	"preschool"	"no"	0	"RU"	67	"mono-rus"
"150"	"R5"	"Konstantin"	"school"	"s"	2	"RU"	129	"bil-mixed"
"151"	"R5"	"105BER"	"preschool"	"no"	0	"RU"	54	"bil-rus"
"152"	"R5"	"012IV"	"preschool"	"no"	0	"RU"	48	"mono-rus"
"153"	"R5"	"129BER"	"preschool"	"no"	0	"RU"	52	"bil-rus"
"154"	"R5"	"017SIN"	"preschool"	"no"	0	"RU"	79	"bil-rus"
"155"	"R5"	"007IV"	"preschool"	"no"	0	"RU"	61	"mono-rus"
"156"	"R5"	"002SIN"	"preschool"	"no"	0	"RU"	64	"bil-rus"
"157"	"R5"	"003SIN"	"preschool"	"no"	0	"RU"	61	"bil-mixed"
"158"	"R5"	"011IV"	"preschool"	"no"	0	"RU"	65	"mono-rus"
"159"	"R5"	"005SIN"	"preschool"	"no"	0	"RU"	60	"bil-rus"
"160"	"R5"	"014SIN"	"preschool"	"no"	0	"RU"	61	"bil-mixed"
"161"	"R5"	"013IV"	"preschool"	"no"	0	"RU"	56	"mono-rus"
"162"	"R5"	"012SIN"	"preschool"	"no"	0	"RU"	76	"bil-rus"
"163"	"R5"	"015SIN"	"preschool"	"no"	0	"RU"	72	"bil-rus"
"164"	"R5"	"008IV"	"preschool"	"no"	0	"RU"	60	"mono-rus"
"165"	"R5"	"041SIN"	"preschool"	"no"	0	"RU"	76	"bil-mixed"
"166"	"R5"	"101BER"	"preschool"	"no"	0	"RU"	59	"bil-rus"
"167"	"R5"	"009IV"	"preschool"	"no"	0	"RU"	48	"mono-rus"
"168"	"R5"	"102BER"	"preschool"	"no"	0	"RU"	58	"bil-rus"
"169"	"R5"	"042SIN"	"school"	"w"	1	"RU"	85	"bil-rus"
"170"	"R5"	"003IV"	"school"	"no"	0	"RU"	101	"mono-rus"
"171"	"R5"	"008SIN"	"school"	"w"	1	"RU"	100	"bil-rus"
"172"	"R5"	"044SIN"	"school"	"no"	0	"RU"	87	"bil-rus"
"173"	"R5"	"002IV"	"school"	"no"	0	"RU"	91	"mono-rus"
"174"	"R5"	"031SIN"	"school"	"no"	0	"RU"	94	"bil-rus"
